發生年度,發生月份,台南市數量,全國數量,
2022,1,4269,34420,
2022,2,3335,26294,
2022,3,4017,32114,
2022,4,3722,29516,
2022,5,3256,27268,
2022,6,3285,27388,
2022,7,3704,31112,
2022,8,3667,31126,
2022,9,3563,30570,
2022,10,3982,32310,
2022,11,4043,33995,
2022,12,4654,37267,
2023,1,3867,35214,
2023,2,3593,31094,
2023,3,4035,36196,
2023,4,3650,31263,
2023,5,3824,33895,
2023,6,3852,33303,
2023,7,3870,33625,
2023,8,3603,32704,
2023,9,3567,31498,
2023,10,3653,32693,
2023,11,3821,34711,
2023,12,4071,35089,
2024,1,4298,35716,
2024,2,3518,29289,
2024,3,3848,32009,
2024,4,3558,30458,
2024,5,3706,32167,
2024,6,3745,32464,
2024,7,3594,32448,
2024,8,3642,32292,
2024,9,3625,32296,
2024,10,3350,31379,
2024,11,3718,34070,
2024,12,4228,37582,
2025,1,4038,36042,
2025,2,3462,29369,
2025,3,3883,33709,
2025,4,3678,32249,
2025,5,3805,33155,
2025,6,3479,32677,
2025,7,3532,31833,
2025,8,3652,32900,
2025,9,3604,32695,
2025,10,3753,34251,
2025,11,303,26161,
2025,12,,,
